Me: 	*Mumbles* Whazza... Huh? Where am I?
Me: 	(Why am I so drowsy and disoriented? What the fuck happened yesterday?)
Me: 	*Yawn*
Me: 	Good morning, beautiful world. (What horrors do you have in store for me today?)
Narr:	You sit on the bed and check the clock...
Me: 	12 PM?! I-Impossible! (I slept that long?!)
Me: 	(No, wait... Someone would have woken me up for sure.)
Me: 	(It must be broken...)
Me: 	Weird...
Narr:	Somewhat nervous, you look at the door for a moment, wondering if anyone is about to burst in.
Me: 	...
Me: 	I thought for a second... (Had a feeling Eve would pop out.)
Narr:	You get up from bed...
Narr:	And get dressed.
Narr:	Thinking of breakfast, you walk out of the room...
Narr:	The moment you exit the room, you bump into Emily, who also just woke up.
Emily:	*Mumbles* Good morning, [m!t].
Me: 	Morning, Emily.
Me: 	Sleep well?
Emily:	Mhmmm...
Me: 	*Chuckle* Convincing.
Emily:	How was your night?
Me: 	I-Uhh... (Wait, could she know something?)
Me: 	I was in my room. (Better avoid mentioning ANYTHING.)
Me: 	You? (I'm not sure if she's testing me or just being sincere...)
Emily:	*Yawn* I fell asleep pretty early.
Me: 	And you slept until now?
Emily:	Mhmm...
Me: 	I'm surprised Eve doesn't give you shit for it.
Emily:	My beauty sleep is sacred.
Emily:	She wouldn't dare.
Me: 	*Chuckle* Scary.
Me: 	(Not sure why she needs that much beauty sleep in the first place... She's pretty cute already.)
Me: 	(Seriously, [m!t]? That's Emily, for fuck sake! Stop thinking that shit!)
Narr:	Not long after, you two are down in the kitchen...
Eve:	Morning, soldier.
Me: 	Hi, Eve. (Ah, there's my answer.)
Emily:	Morning.
Eve:	Oh, Emily? Even you're up.
Eve:	To what do we owe the pleasure?
Emily:	*Mumbles* Leave me alone.
Eve:	*Chuckle* Grumpy as always.
Me: 	Any breakfast?
Eve:	Soon. As you can see, I'm whipping something up.
Me: 	Take your time.
Eve:	Why, thank you, "boss".
Me: 	You know what I meant...
Eve:	No, care to elaborate?
Me: 	It's too early in the morning for me to come up with a clever comeback.
Eve:	*Chuckle* Nice try, nevertheless...
Eve:	So, have you gotten comfortable being back?
Me: 	Hardly, but...
Me: 	Guess it's not as soul-sucking as I thought at first.
Eve:	Mhmm, you'll be sad once it's over, I know it.
Me: 	*Scoff* We'll see.
Eve:	Here you go, guys, eat up.
Emily:	Thanks.
Eve:	So? Got any plans for today?
Me: 	Wallow in boredom and Weltschmerz?
Eve:	*Chuckle* Funny. I'm even surprised you know about that term, but...
Eve:	I can do you one better.
Me: 	I'm listening. (More chores, wonderful...)
Eve:	How about helping us after breakfast?
Me: 	Sure. (And here we go again...)
Me: 	And, what about you?
Eve:	I need to get the Community Area ready.
Eve:	You should talk to Kiara. She'll brief you.
Me: 	Will do, Eve. (Just dandy...)
Eve:	Thanks, see you guys later.
Narr:	Eve leaves the kitchen and the two of you alone.
Emily:	She gone?
Me: 	Umm, yeah?
Narr:	You notice Emily's eyes opening, smile widening, like flipping an internal "On" button.
Emily:	Great, we can eat in peace!
Me: 	Wait, were you only pretending to be grumpy and sleepy?
Emily:	*Chuckles* Just sleepy.
Me: 	Just to... Get her off your back?
Emily:	Maaaybee...
Me: 	Something wrong?
Emily:	It's fine, I just don't feel like talking to her.
Me: 	Why is that?
Emily:	I can't stand her making fun of me all the time.
Emily:	Like I'm a child or stupid or something...
Me: 	She's just teasing you like she teases everyone.
Me: 	You know how she is.
Emily:	Yeah, obnoxious.
Me: 	That's not a very nice thing to say.
Me: 	She even made you breakfast...
Emily:	Why are you busting my chops?
Emily:	Wanna get on my "morning blacklist" as well?
Me: 	*Sigh* No, I don't. (Eve would flip if she heard Emily talking like this.)
Me: 	So, had fun recently?
Me: 	You know, parties, friends, that sort of thing?
Emily:	Yeah, last weekend!
Emily:	Me and a few friends got together and got absolutely smashed, haha!
Emily:	We drank, like, a whole bunch of everything.
Emily:	*Chuckle* I can hardly remember what happened after 10 PM. 
Emily:	Everyone was all over the floor, lying in a puddle of broken glass and filth...
Me: 	You call that fun? (Does she think she'll impress me with this?)
Emily:	Yeah, what's wrong with letting yourself go from time to time?
Me: 	Sounds like a horrible way to spend your youth... or treat your body.
Me: 	I'm not sure if these "friends" of yours are a good influence.
Emily:	Oh, I'm sorry. I thought Eve left, and I'm talking to [m!t]...
Emily:	Not the other way around.
Emily:	It's so difficult to tell you two apart. (Why is he trying to school me?)
Me: 	Now you're just trying to be mean.
Emily:	*Scoffs* Like you never partied before, hypocrite...
Me: 	*Sigh* I'm done eating. (Can't talk to her when she gets like this.)
Emily:	Already? But you haven't finished your plate.
Me: 	I lost my appetite. See ya' later.
Narr:	You leave Emily in the kitchen to deal with her thoughts...
Narr:	Unbeknownst to you, she's more troubled by your words than you think.
Narr:	Before you exit the house, Kiara calls out to you.
Kiara:	Where are you going?
Me: 	Huh?
Me: 	Oh, it's you... I was just about to go looking for you.
Kiara:	Yet I had to find you.
Me: 	Just tell me what needs doing.
Kiara:	Round up the patients and bring them to the Community Area.
Kiara:	They'll have a short briefing and a private session with Eve.
Me: 	Right.
Kiara:	Oh and, [m!t]? Try not to ogle the patients too much.
Me: 	*Inaudible swearing*
Narr:	With that, you leave the house...
    Narr:	After a knock...
    Naomi:	Come iiin!
    Me: 	(That's definitely Naomi. She sounds energetic...)
    Me: 	(Wonder what's up with h...)
    Naomi:	Hey, [m!t]. I've been expecting you.
    Me: 	HOLY FUCK!
    Naomi:	Like what you see?
    Naomi:	Better than a picture, right?
    Narr:	Quickly turning your head, you remain frozen in place.
    Me: 	Uhh...
    Naomi:	*Chuckle* Got your mind blown, huh?
    Me: 	What the hell are you doing naked and spread like some art model!?
    Naomi:	Waiting for you to "draw" me.
    Me: 	Well, I suck at art.
    Naomi:	Maybe you should take a closer look, then?
    Naomi:	Real life models are very, very useful for learning things like that.
    Me: 	Might be able to draw a stickman with boobs, but that's about it.
    Naomi:	Well, you can try again...
    Naomi:	And again...
    Naomi:	And again.
    Naomi:	Until you get it right...
    Naomi:	And then, we can take a large "canvas" out, and see what we end up making.
    Me: 	Maybe some other time.
    Naomi:	You know, it's not nice to keep a lady waiting.
    Me: 	... ("Lady"? HAH! You've been basically begging me to fuck you since yesterday.)
    Naomi:	Wow, you're like a stone wall, aren't you?
    Naomi:	You're actually making me feel unwanted now.
    Me: 	...
    Naomi:	*Sigh* At least tell me if they're any good.
    Narr:	You're barely able to keep yourself from looking.
    Narr:	Naomi's request made it impossible not to...
    Narr:	So, you take a peek.
        Narr:	So, you take a peek.
            Me: 	I guess they're okay.
            Naomi:	"OKAY"?! What do you mean "okay"!?
            Naomi:	Take another look, you blind idiot!
            Narr:	You check out her tits again...
            Naomi:	Just try telling me they're not amazing, I dare you.
            Me: 	Alright, fine!
            Me: 	They look amazing. Soft, yet firm...
            Me: 	Not too big, not too small...
            Me: 	Some might even say "perfect".
            Me: 	Happy?
            Naomi:	Mhm... Thought so.
            Naomi:	Glad you like them.
            Me: 	(Like I have a choice...)
            Naomi:	If you behave, I'll let you fondle them a bit.
            Me: 	("She is practically been begging me to fuck her since yesterday"...)
            Me: 	Get dressed, please. You have a meeting at the Community Area.
            Naomi:	Why didn't you say so sooner?
            Narr:	Naomi gets up and looks for her clothes.
            Me: 	I'll leave you to it.
            Narr:	She ignores you as she gets dressed.
            Me: 	*Sigh* (Always something with that chick...)
            Me: 	Nothing special.
            Naomi:	WHAT!?
            Me: 	Yeah, I've seen better.
            Naomi:	How can you say that!?
            Me: 	You're the one who asked for my opinion...
            Me: 	Now you know.
            Naomi:	Get out, GET OUT!
            Me: 	Going!
            Me: 	Oh, by the way...
            Me: 	There's a briefing at the Community Area you should attend.
            Naomi:	OUT!
            Narr:	As you leave the cabin, you close the door behind you.
            Me: 	*Chuckle* (I shouldn't enjoy pissing people off)...
            Me: 	...(but something about her rubs me the wrong way.)
        Me: 	(Guess I should go to the Community Area...)
        Me: 	(Guess I should go find the rest of them...)
    Narr:	After a knock...
    Naomi:	It's open!
    Narr:	Opening the door, you notice Naomi standing in the cabin.
    Narr:	Dressed and ready, looking quite stunning.
    Narr:	So much so, you're left speechless for a moment.
    Naomi:	Hello? Yes?
    Me: 	*Stare* Umm...
    Naomi:	Be careful with that look of yours...
    Naomi:	You'll make me blush...
    Naomi:	And horny.
    Me: 	Uhh... You're already dressed? (She's too close.)
    Naomi:	Of course, I must look dashing at all times.
    Naomi:	And your reaction tells me I'm doing a good job. (You're cracking, [m!ct]... I can feel it.)
    Me: 	Right, well, could you "look dashing" at the Community Area?
    Naomi:	Hmm? What for?
    Me: 	We're having a briefing.
    Naomi:	Oh, I see.
    Me: 	Naomi, can I ask you something?
    Naomi:	Anything...
    Me: 	Why do you keep hitting on me? What's your deal?
    Naomi:	Why do you want to know?
    Me: 	Curiosity?
    Naomi:	"Curiosity," huh? Which means you're interested.
    Me: 	Well, it's also getting out of hand.
    Naomi:	Then I'll just use my hand...
    Narr:	With one arm, you block Naomi's puny crotch-grab attack.
    Me: 	That's not what I meant...
    Narr:	And with the other, you gently push her away.
    Narr:	Without saying another word, Naomi passes you by, as if you're not worth her time...
    Narr:	Like some speck of filth, not even worthy of her attention...
    Narr:	She leaves you guessing...
    Narr:	Leaves you unaware that her plans are already in motion.
    Me: 	(What's up with her?)
    Me: 	(She keeps hitting on me... Does she just wanna provoke me or...)
    Me: 	(Last time we talked was so... weird. Over the top, and suspicious.)
    Me: 	(What if she's lying about the reason she's here?)
    Me: 	(Now I'm curious. Maybe I could find out something more about her...)
        Me: 	(Guess I should go to the Community Area...)
        Me: 	(Guess I should go find the rest of them...)
Me: 	Hey, Violet.
Violet:	Morning, [m!t]. Sleep well?
Me: 	Like a log. You?
Violet:	Not bad. Naomi helped.
Me: 	Huh?
Me: 	She tucked you in and read bedtime stories?
Violet:	Haha, that sounds as lovely as breaking a foot...
Violet:	No, we argued for about two hours before getting exhausted.
Me: 	Yup, that sounds legit.
Violet:	And then we just fell asleep. *Chuckle*
Me: 	What was it about?
Violet:	Oh, you know... Girl stuff.
Me: 	Mhm... Very vague.
    Violet:	Wouldn't you rather train with me instead of talking about Naomi?
    Violet:	You were doing so well yesterday.
    Violet:	It's boring subject anyway...
    Violet:	Though I did want to ask if you changed your mind about yoga.
    Violet:	Interested in trying it with me this time?
    Narr:	Do yoga with Violet?
        Me: 	Sure, I don't see why not.
        Narr:	Violet hands you one of her dumbbells.
            Me: 	Yeah... And let's pretend I didn't fall on you last time.
            Violet:	*Chuckle* It'll be better, this time around.
            Me: 	Hope so. ("Better" how? "Accidently" getting a blowjob?)
            Me: 	Sorry about not having time yesterday.
            Violet:	Don't worry, you can make it up to me today. *Chuckle*
            Me: 	Yeah, I might. (It's curious how she’s more confident when training is involved.)
        Me: 	So, Naomi...
        Violet:	Just can't let it go, can you?
        Me: 	What's up with you two?
        Me: 	I know she's a handful.
        Me: 	Why do you guys fight? You meet before, or something?
        Violet:	I'm not sure, honestly. We met recently.
        Me: 	So you just got off on the wrong foot?
        Violet:	Maybe, but it was like that the moment we saw each other.
        Violet:	There's something about her...
        Violet:	The way she behaves...
        Violet:	The way she walks and talks, and...
        Violet:	The way she looks...
        Me: 	(Looks?)
        Violet:	It just makes me so...
        Me: 	Uhhhh, I see, I see... (Damn! She really can't stand Naomi.)
        Violet:	Yoga helps, though.
        Me: 	Definitely continue doing yoga, then. (Better not get on her bad side, if she’s strong as she is fit...)
        Violet:	Did you just come here to do yoga and talk about Naomi, or was there something else?
        Me: 	Oh, right! I completely forgot...
        Me: 	We're holding a briefing in the Community Area.
        Me: 	All of you have to attend.
        Violet:	Sure, Il'll be on my way.
        Narr:	Somewhat unexpectedly, and without saying a word, Violet leaves to get ready for the briefing.
        Narr:	If you didn't know any better, you might assume she had military training.
        Me: 	(So obedient. Probably because of all the drilling so far.)
        Me: 	(I wonder what she's like in bed...)
        Me: 	("Drop those panties! Now lift up that butt!")
        Me: 	("Yes, sir! Of course, sir!")
        Me: 	*Chuckle* (Just imagine dominating that chiseled marble ass of hers...)
        Me: 	(Okay, maybe don't. I can feel an erection coming.)
        Me: 	Think I'll pass. I have more work to do.
        Violet:	You should really get your blood flowing, but... Suit yourself.
        Narr:	Violet continues to focus on her training...
        Narr:	Giving you ample opportunity to check her out.
        Me: 	(Just look at that butt, so plump.)
        Me: 	(And those legs...)
        Violet:	Something on your mind?
        Me: 	Oh--Uhhh, I just noticed how well-built you are.
        Violet:	Really, you mean it?
        Me: 	Are you kidding me? Have you seen yourself?
        Me: 	You're like an Amazon in her prime.
        Me: 	And even though you train a lot, you're still very feminine...
        Me: 	Very curvy...
        Me: 	Umm...
        Violet:	*Chuckle* Wow, thanks. (That was unexpected.)
        Me: 	Ah, fuck! Sorry... (Think before you talk! THINK!)
        Me: 	I got carried away.
        Narr:	Violet shakes her head with a smile.
        Violet:	Don't be. It feels really nice hearing someone say that...
        Violet:	While "thoroughly" noticing me.
        Me: 	Uhhh, right... No problem.
        Me: 	Anyway, there's a briefing in the Community Area.
        Me: 	You should attend when you're done.
        Violet:	Just about done anyway.
        Me: 	Great. I'll see ya'...
        Violet:	[m!ct]?
        Me: 	Yeah?
        Violet:	Thanks for the compliments, and...
        Violet:	You're not bad yourself.
        Narr:	Saying this, Violet leaves to get ready.
        Narr:	Empty headed and smitten, it takes a few moments for you to come back to reality.
        Me: 	(Damn, what a bombshell...)
        Me: 	(I'm surprised I haven't gotten an erection already.)
    Me: 	(Guess I should go to the Community Area now...)
    Me: 	(Guess I should go find the rest of them now...)
    Me: 	(Let's check on Stacy and Belle.)
    Narr:	Approaching their cabin door, you knock.
    Narr:	Nobody answers, so you decide to enter anyway...
    Narr:	As you enter, the first thing you notice is Belle still tucked into her bed.
    Narr:	Sleeping soundly as an angel...
    Me: 	(Where's Stacy?)
    Me: 	(Did she leave already?)
    Narr:	As you look around, you spot a dark shape in the corner of the room.
    Me: 	(What's that?)
    Narr:	It takes you a few seconds to realize what it is you're looking at...
    Me: 	Stacy?
    Stacy:	*Inaudible mumbling*
    Me: 	What are you doing in that corner?
    Stacy:	When crickets mate, they put canvases on their doors and...
    Me: 	Stacy? What's wrong? Are you hurt?
    Stacy:	Sometimes they see me, but sometimes roses grow out from their postcards...
    Me: 	Hey! Snap out of it. (What the hell is wrong with her!? She was fine yesterday!)
    Stacy:	Quick eyedrops underneath my fingernails...
    Me: 	(Yesterday? Is it because I took her lighters?)
    Stacy:	When do fireflies hope for bone dust?
    Me: 	Ahh, shit... (She said she needed it to "commune with the spirits" or some crap like that.)
    Me: 	Alright, Stacy. Come on, get up.
    Stacy:	The lighthouse has a meteor in it...
    Me: 	Let's get you outside...
    Stacy:	But the glass is blue, I can't become blue!
    Me: 	Don't worry, I'll make sure you stay the same color. (I have an idea.)
    Narr:	You barely manage to drag Stacy's mindless body out of the cabin.
    Narr:	If someone saw her right now, for the first time, they'd think she was born blind and deaf.
    Me: 	Look, Stacy! We're outside!
    Stacy:	Best Gemini free?
    Me: 	Yes, free! Look at the trees and nature and...
    Me: 	See that? That's THE SUN!
    Stacy:	Huh?
    Me: 	You still have nature's lighter at your disposal.
    Me: 	A giant, infernal ball of heat and flames. Isn't that great?
    Stacy:	S-S-S... Un...
    Me: 	Yes, that's right, Sun. It's fire, isn't it?
    Me: 	Can you feel how warm the Sun is?
    Stacy:	Ahh, Sun... Sun... Sun...
    Stacy:	Flames, fire, heat...
    Narr:	It takes Stacy a few moments to get her mind up and running.
    Stacy:	Yes, the Sun! PRAISE THE SUN!
    Stacy:	Ahhhh, I can feel it seeping into my soul...
    Stacy:	Purging vile thoughts and sickness!
    Narr:	Unexpectedly, Stacy hugs you...
    Narr:	And plants a kiss on your cheek.
    Stacy:	Thanks, [m!t].
    Me: 	Yeeeah, no problem. (Was she for real?)
    Me: 	...
    Me: 	Ummm, you can let go now.
    Stacy:	Right, sorry.
    Me: 	No worries.
    Me: 	There's a briefing at the Community Area.
    Me: 	You should attend.
    Stacy:	Okay, I will.
    Narr:	Stacy immediately runs off towards the Community Area.
    Me: 	(Abrupt ending...)
    Narr:	Approaching their cabin door, you knock.
    Stacy:	Yeah?
    Narr:	Slowly, you open the door.
    Me: 	Hey, it's me. I was just...
    Me: 	What the...
    Narr:	Stacy stands in the middle of the room, staring at a lighter's flame.
    Stacy:	Hi, [m!t].
    Me: 	What are you doing with that lighter!?
    Stacy:	Meditating, focusing, communing...
    Stacy:	Call it what you will.
    Me: 	(Maybe I shouldn't have let her keep those...)
    Me: 	(There's Belle, still sleeping, it seems.)
    Me: 	How long have you been doing this, Stacy? (She's making me nervous...)
    Stacy:	Doing what?
    Me: 	The lighter... Meditation or whatever.
    Stacy:	I don't know, a couple of hours?
    Me: 	COUPLE OF--Ahhm... That long, huh? (This chick is nuts!)
    Me: 	Anyway, can you put that down?
    Me: 	We have a briefing at the Community Area. Everyone has to attend.
    Stacy:	Huh? The "what" now?
    Me: 	The Community Area? The place where you'll have sessions?
    Stacy:	Of course. I'll head there straight away.
    Stacy:	Yesterday was fun, wasn't it?
    Me: 	What do you mean?
    Stacy:	When you came?
    Me: 	W-W-WHAT?! I-I-I "CAME"!?
    Stacy:	Eww, just now? In here? Gross...
    Me: 	No! What!? You're confusing me...
    Me: 	*Sigh* You said I "came"?
    Stacy:	No, I didn't.
    Me: 	I JUST heard you say it!
    Stacy:	Yeah, we were hanging out.
    Me: 	(So it was Stacy! Shit! I remember being with someone, but vaguely...)
    Me: 	(I thought it was a dream.)
    Me: 	What were we doing anyway?
    Stacy:	What do you mean?
