Me: 	EMILY?!
Narr:	Suddenly, the silhouette that was standing in the door, vanishes.
Me: 	(I'm certain I closed that door...)
Me: 	(Someone was watching... and it looked like Emily.)
Me: 	(I need to go investigate, quickly!)
Me: 	(Otherwise she'll get away!)
    Stacy:	Dennis... what's wrong?
    Me: 	Stacy...
    Me: 	You might not believe me, but someone was watching us.
    Me: 	Just now, and maybe the whole time we were...
    Stacy:	Is that so? 
    Stacy:	A phantom hiding in the doorway like a buried ember under fresh ashes?
    Me: 	Yeah...
    Stacy:	So, are you ready to reignite the fire?
    Me: 	Stacy, I'm sorry...
    Me: 	I really need to go see who that was.
    Stacy:	Please, stay with me just a little longer...
    Narr:	Stacy attempts to seduce you, but your mind is preoccupied...
    Narr:	Pangs of dread coalesce in the pit of your stomach.
    Me: 	I'm sorry.
    Me: 	We really can't.
    Me: 	You also need to get back to your cabin.
    Me: 	So nobody suspects anything.
    Stacy:	Of course, my enkindled prince.
    Stacy:	But... Will you be a gentleman and escort me back to my cabin?
    Me: 	I can escort you to the front door, but I can't go any further.
    Stacy:	That's a shame. But, it is understandable.
    Stacy:	We're being quite naughty, sneaking around like this.
    Stacy:	I feel the sparks of excitement bouncing around in my heart...
    Stacy:	So, I can't say I don't cherish this.
    Me: 	You know, I'd have to agree with you there, Stacy.
    Me: 	*Whispers* This way, m'lady.
    Narr:	You take Stacy by the hand.
    Narr:	Like a ninja turned gentleman, you sneakily escort her downstairs.
    Me: 	*Whisper* Step quietly...
    Stacy:	*Whisper* I'll step softly, like ash.
    Narr:	You quickly make it to the front door with Stacy.
    Narr:	Taking great care, you open the door as quietly as possible.
    Me: 	*Whisper* Almost there...
    Narr:	Once it's open, you usher Stacy out the door courteously.
    Me: 	*Whisper* After you.
    Stacy:	*Whisper* You truly are a man of noble ash.
    Narr:	You follow Stacy outside.
    Narr:	Gently closing the front door, you find yourself on the porch with Stacy.
    Me: 	Stacy, I had a wonderful time tonight.
    Stacy:	As did I. You pleasantly surprised me.
    Stacy:	I pray we dance like rising sparks again in the future.
    Me: 	I'm looking forward to it.
    Narr:	Stacy gives you a gentle kiss on the cheek before wishing you goodnight.
    Stacy:	Good night, Dennis.
    Me: 	Good night, Stacy.
    Me: 	(I really have to go look for Emily, now.)
    Me: 	Hmm... (Where should the search begin?)
            Me: 	Hmm... (Where should the search begin?)
    Narr:	You approach the girls' campground.
    Narr:	The night is quiet and still.
    Me: 	(Sounds like everyone is asleep.)
    Narr:	A rush of curiosity flows through you.
    Me: 	(Hmm... Could Emily have snuck into one of the cabins?)
    Me: 	(It sounds implausible... but...)
    Me: 	(I'll just take a quick peek into each cabin.)
    Me: 	(Nobody will know.)
    Narr:	You sneak up to the perimeter of Cabin 1.
    Narr:	Poking your head up, over the window's edge... 
    Narr:	You take a look inside.
    Me: 	(It's dark, but it looks like...)
    Narr:	You see two silhouettes in their beds, inside the cabin.
    Me: 	(Hmm... I really can't see much.)
    Me: 	(But, it looks like Violet and Naomi are sleeping.)
    Me: 	(And, Emily isn't in there.)
    Me: 	(I should look for her somewhere else.)
    Narr:	You sneak up to the perimeter of Cabin 2.
    Me: 	(I really need to be careful...)
    Narr:	Poking your head up cautiously...
    Narr:	You take a look inside.
    Me: 	(It's dark, but it looks like...)
    Narr:	You see two silhouettes in their beds, inside the cabin.
    Me: 	(Hmm... I can't see much.)
    Me: 	(But, it looks like Stacy and Belle are sleeping.)
    Me: 	(And, Emily isn't in there.)
    Me: 	(I better get out of here...
    Me: 	(Before Belle's Dennis-sense starts tingling.)
    Me: 	(I should look for Emily somewhere else.)
    Me: 	(Well.)
    Me: 	(I didn't find her at the campground...)
    Me: 	(Which means there's only one place Emily could be...)
    Me: 	(Hiding out at the gazebo.)
    Narr:	You make your way to the dock.
    Narr:	Realizing that there isn't anyone here...
    Narr:	...you look out, over the lake.
    Me: 	(Hmm. Nobody here.)
    Me: 	(Nobody over there, either.)
    Me: 	(But... what's this?)
    Me: 	(Reflections of stars?)
    Narr:	What you once believed to be the reflection of stars...
    Narr:	...actually turns out to be a swarm of fireflies.
    Narr:	Fireflies gracefully floating above the surface of the lake.
    Me: 	(Oh my god...)
    Me: 	(They're fireflies.)
    Me: 	(Wow...)
    Narr:	You live in that beautiful moment...
    Me: 	*Deep inhale*
    Narr:	...for as long as you can.
    Me: 	*Deep exhale*
    Me: 	(I need to take a mental snapshot of this.)
    Me: 	(It's rare to see something like this, these days...)
    Narr:	Shortly later, you take your leave.
    Me: 	(Well.)
    Me: 	(I didn't find Emily here.)
    Me: 	(Instead, I found something... amazing.)
