Me: 	What's wrong with you!?
Me: 	Stacy...
Me: 	(Another dream... different from the last one.)
Me: 	(Only Stacy... standing in front of a red waterfall?)
Me: 	Her eyes...
Me: 	(Am I losing my mind?)
Me: 	(Two restless nights in a row... and the girls aren't making my days easier either.)
Me: 	(Stacy was there, but there was no eclipse... no crimson sky.)
Me: 	(I need a shower to clear my mind. All of this is getting to my head.)
Narr:	As you get up, an all familiar feeling gets ahold of you.
Me: 	(What if I'm still dreaming?)
Narr:	In a hurry, you unlock the phone to check the time.
Me: 	Thank god, I'm not dreaming.
Me: 	(But, I definitely overslept. It's 9 a.m. already.)
Me: 	(Better take that shower; and fast.)
Me: 	(This has gotta get my mind straight.)
Me: 	(A nice cold shower.)
Narr:	The cold shower does wake you up and chases remnants of the dream away.
Narr:	Your mind, now unclouded, starts wandering to last night's events.
    Me: 	(Violet's really changed since she first arrived at camp.)
    Me: 	(But, still, it's like she's holding back.)
    Me: 	(Maybe I can help her come out of her shell?)
    Me: 	(Why was I even surprised?)
    Me: 	(It's typical of Belle to sneak into someone's room for a booty call.)
    Me: 	(She's insatiable...)
    Me: 	(I'm glad Naomi opened up.)
    Me: 	(Gone is the spoiled princess. She's actually great to hang out with.)
    Me: 	(And incredible to be with...)
Narr:	Feeling refreshed, you make your way downstairs while your stomach protests in need of food.
Emily:	Morning, sleepyhead.
Emily:	Did you dream of something or someone nice?
Emily:	Or are you just exhausted?
Emily:	*Giggle*
Narr:	Ignoring her jabs, you grab some food out of the fridge and sit across from her.
Me: 	Yes, Emily, I do feel exhausted.
Me: 	I haven't even grabbed breakfast and you're already nagging.
Me: 	Plus, I barely got any sleep.
Emily:	*Giggle* Oh, I believe you.
Me: 	If you have to know, I had another weird dream last night.
Emily:	Did you dream about Stacy again?
Me: 	Emily, I keep tell–
Narr:	You don't get to finish your thought as Emily interrupts you.
Emily:	Or did you dream about me?
Me: 	...
Emily:	I often dream of you.
Narr:	Caught off guard by how brazen Emily has become, you remain speechless.
Me: 	(Did this happen? Am I still dreaming?)
Me: 	Emily...
Emily:	Yes, Dennis?
Narr:	The look she gives you speaks of an unquenchable desire as she rubs your crotch.
Narr:	As you gaze at her glistening, emerald eyes, your cock gets rock hard.
Narr:	She feels you getting hard for her and a smile creeps on her face.
Me: 	Emily, someone could come here at any point.
Me: 	You... WE would be in a heap of trouble.
Emily:	There's nobody home, silly. We're all alone.
Me: 	Nobody's... We're alone?
Emily:	Yeah, Dennis, that's what I said. We are alone in the house.
Narr:	Your heart starts pounding as Emily's foot continues rubbing against your crotch.
Me: 	(I do like this new Emily, but what's gotten into her?)
Me: 	(She's never been this open... or this sexual...)
Me: 	That's... *pant*... convenient, isn't it?
Emily:	Mhm...
Me: 	(She's driving me wild. Emily is driving me wild!)
Narr:	It finally clicks that she must've been attracted to you all along. You were just blind to see it. 
Narr:	And, when opportunity arose, she acted upon it.
Narr:	Now, you finally see her with a newfound realization. She's beautiful.
    Narr:	Now, you finally see her with a newfound realization. She's beautiful.
        Me: 	Em... you're gorgeous.
        Emily:	You never told me that before.
        Emily:	You really mean it?
        Me: 	Yeah, I always thought so.
        Emily:	You'll have to prove it to me.
        Narr:	Emily slowly approaches you as your hard-on reaches new heights.
        Me: 	(Damn, this girl's got me so hard, I'm having trouble thinking straight.)
        noname:	Dennis! Emily!
        noname:	Can you come out for a minute?
        Emily:	Guess that's our cue to leave!
        Emily:	*Giggle* You coming?
        Me: 	I'll be out in a few, don't wait on me.
        Emily:	Okay, see ya outside then.
        Narr:	Your blank stare can hardly convey how you're feeling as you rewind what just happened.
        Me: 	I need another fucking shower.
        Narr:	She is gorgeous, but you've grown tired of her games.
        Me: 	Em...
        Narr:	You take her foot, which is still rubbing your crotch, and, with a heavy heart, move it away.
        Me: 	I know all of this is some kind of a game to you, but...
        Emily:	"Game?" Seems I'm not the only one playing games, Dennis.
        Emily:	It's like no matter what I do, it doesn't mean anything! You're not taking me seriously.
        Me: 	It's just... sometimes you can act juvenile.
        Me: 	And, Emily, you matter to me.
        Narr:	Emily slowly approaches you with your hard-on still going strong.
        Narr:	She leans so close you almost get overpowered by that sweet smell of hers.
        Emily:	*Whispers* You'll have to prove it to me.
        noname:	Dennis! Emily!
        noname:	Can you come out for a minute?
        Emily:	Guess that's our cue to leave.
        Emily:	You coming?
        Me: 	I'll be out in a few, don't wait on me.
        Emily:	Okay, see you outside then.
        Narr:	Your blank stare can hardly convey how you feel as you rewind what just happened.
        Me: 	I need another fucking shower.
Eve:	Glad you joined us, Dennis. Did you sleep well?
Me: 	Yea', sorry about that. Woke up a bit late and was about to finish my breakfast.
Emily:	It would be a real shame to leave something unfinished.
Eve:	Now that you're both here, let me tell you the schedule for today and what is expected of you.
Eve:	As you know, we're having an eclipse viewing party tonight.
Eve:	The news said it was gonna be a rare sight indeed, since it's going to be a midnight solar eclipse.
Narr:	Your mind flashes with images of dreams you had during the previous nights... Unease growing inside you.
Me: 	(Not a regular eclipse either. Paired with that bizarre dream I had...)
Me: 	Sorry, what? A... midnight solar eclipse?
Me: 	How does that even make sense?
Emily:	A midnight solar eclipse takes place when the sun, moon, and Earth are not exactly lined up.
Emily:	It's not a total eclipse, but a partial one.
Eve:	...
Me: 	...
Emily:	What? I watch a lot of documentaries.
Eve:	As I was saying, it's gonna be a rare sight.
Eve:	Kiara already went to town to get some supplies since we're all gonna need special glasses.
Eve:	Safety of our attendees is our number one priority.
Eve:	She'll also buy groceries for tonight. I was thinking about some quick and easy snacks, such as tortilla wraps.
Me: 	That sounds great!
Me: 	(At least it's not sandwiches...)
Emily:	I love me some tortilla wraps!
Eve:	I expect the two of you to be ready to jump in and help where needed, be that with the girls, food or anything else.
Eve:	Is that clear?
Me: 	Of course, Eve, you can...
Emily:	Count on us! We're so great together, we finish each other's sentences!
Narr:	With a sly smile, an ever-teasing Emily winks at you.
Narr:	You somehow manage to retain your composure.
Me: 	(She's incorrigible. But, I gotta admit, she's slowly getting under my skin.)
Me: 	Yes, Eve, you can count on us.
Eve:	I'm glad to hear that.
Eve:	Since some of you were sleeping, I informed the girls about our plan.
Eve:	But, I was an early bird and woke them all up.
Eve:	Most of them returned to bed afterwards, so you should go check up on them and bring them to the Community area.
Narr:	As Eve is giving her speech, you glance at Emily. You catch her eye and she smiles at you.
Narr:	And then, she wiggles her tongue at you!
Me: 	(It's gonna be a long day...)
Eve:	It's still early, so there's no need to rush them.
Eve:	Just let them know and wait for them to get ready.
Me: 	(Knowing them, they're probably still asleep.)
Me: 	Sure thing, we'll get going then.
Narr:	Before you can go, Eve stops you.
Eve:	Dennis, I would like to see you in my office. When you'll have the time, of course.
Narr:	Emily is looking at you, impatiently.
Emily:	Are we going, slowpoke?
Me: 	(I could go with Emily and check on the girls.)
Me: 	(Or I could go and see what Eve needs to see me about.)
        Emily:	Aaaand? You're gonna keep me company or what?
        Narr:	Emily is still being flirtatious and you're still processing what happened in the morning.
        Narr:	You join her, maybe out of boredom or something else. Does it even matter at this point?
        Me: 	Yeah, yeah, I'm coming with you.
        Emily:	Yay!
        Me: 	Em?
        Emily:	Yes, Dennis?
        Narr:	You struggle to find the appropriate words to give voice to all the feelings that arose between you this morning.
        Me: 	About this morning...
        Emily:	What about it?
        Me: 	(She's fucking with me, right? She wants ME to say it.)
        Narr:	Emily quickens her pace as she twirls playfully.
        Narr:	She sits on a bench along the way.
        Narr:	With a gesture, she invites you to sit beside her.
        Me: 	Emily, we don't have time for this.
        Narr:	Your protest is soon dispelled as she smiles at you.
        Me: 	We actually don't have time for this, you know...
        Emily:	C'mon, just for a minute.
        Me: 	(What is she up to now?)
            Emily:	Remember when we had that bet?
            Emily:	The one where, if you finish all your chores before afternoon, I'll owe you a favor that you can cash in at any time.
            Emily:	But, if you lose, you'll have to do whatever I want.
                Me: 	Of course I remember. I won.
                Emily:	And you reserved the right to a favor, redeemable at any time.
                Me: 	That I still haven't cashed in.
                Me: 	(Where is she going with this?)
                Emily:	The thing I'm trying to say is...
                Emily:	I want to stay in your good graces so you aren't too harsh on me.
                Emily:	(And I'm willing to go to great lengths, just so you would notice me.)
                Me: 	...
                Me: 	I'll... I'll take that into consideration.
                Emily:	You might think I've forgotten, but I haven't.
                Me: 	Mhm... (Oh shit.)
                Emily:	You did almost everything. Everything except fixing the roof of Cabin 1.
                Emily:	And, worst of all... *smiles* you thought you could get away with it.
                Me: 	It completely slipped my mind.
                Emily:	Good thing I'm not as forgetful then.
                Emily:	(About what I want...)
                Emily:	I'll let you know when I think of something.
                Me: 	(Great, can't wait...)
            Emily:	You promised me we would hang out more.
            Emily:	But it feels like I'm always the one running after you and asking you to spend time with me.
            Emily:	(Even though you got hard for me.)
            Emily:	You are always busy with other things... and not me.
            Emily:	I mean, you never spend time with me.
            Emily:	And I'm so tired of waiting.
